,Nom du commerce,﻿Catégorie,Adresse,Numéro,Code postal,Localité,Site internet,Géo Point,Entité,Groupement,Nom,Prénom,GSM,Lieu de rendez-vous,Infos rendez-vous,Gare,Activité,15km,PMR,Poussettes,Latitude,Longitude,Time,lun_mat_ouv,lun_mat_ferm,lun_soir_ouv,lun_soir_ferm,mar_mat_ouv,mar_mat_ferm,mar_soir_ouv,mar_soir_ferm,mer_mat_ouv,mer_mat_ferm,mer_soir_ouv,mer_soir_ferm,jeu_mat_ouv,jeu_mat_ferm,jeu_soir_ouv,jeu_soir_ferm,ven_mat_ouv,ven_mat_ferm,ven_soir_ouv,ven_soir_ferm,sam_mat_ouv,sam_mat_ferm,sam_soir_ouv,sam_soir_ferm,dim_mat_ouv,dim_mat_ferm,dim_soir_ouv,dim_soir_ferm
0,Café de Paris,Café - Bar - Brasserie,Grand Place,15,4280,Hannut,Pas d'informations,"50.672649414,5.077863186",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
1,La capsulerie,Café - Bar - Brasserie,Route de Tirlemont,7,4280,Hannut,Pas d'informations,"50.677510762,5.071320872",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
2,"Café ""La Solive""",Café - Bar - Brasserie,Rue des Vieux Remparts,3,4280,Hannut,Pas d'informations,"50.673476735,5.077765089",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
3,L'Instant Présent,Café - Bar - Brasserie,Grand Place,17,4280,Hannut,Pas d'informations,"50.672649414,5.077863186",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
4,Le Beach Bar,Café - Bar - Brasserie,Rue Zénobe Gramme,25,4280,Hannut,Pas d'informations,"50.671341164,5.075842323",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
5,Cafétaria du Smash 2000,Café - Bar - Brasserie,Rue des prés,16,4280,Avernas-le-Bauduin,Pas d'informations,"50.694982767,5.071721898",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
6,Vingt sur 20,Café - Bar - Brasserie,Grand Place,18,4280,Hannut,Pas d'informations,"50.672649414,5.077863186",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
7,Les Copains d'Abord,Café - Bar - Brasserie,Grand Place,20,4280,Hannut,Pas d'informations,"50.672649414,5.077863186",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
8,Le Café des Sports,Café - Bar - Brasserie,Route de Tirlemont,14,4280,Hannut,Pas d'informations,"50.677510762,5.071320872",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
9,La Taverne,Café - Bar - Brasserie,Rue Gustave Detiege,6,4280,Hannut,Pas d'informations,"50.671955047,5.078210069",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,2.5,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
