,Nom du commerce,Adresse,Numéro,Code postal,Localité,Géo Point,Time
0,Triffaux Joël,Rue d'Atrive,11,4280,Avin,"50.624053111,5.073498891",0.5
1,Royer P,Rue François Garot,2,4280,Grand-Hallet,"50.694859682,5.032649044",0.5
2,Les Jardins de Wanet (bio),Rue Tige Jacquette,5+,4280,Avin,"50.619450001,5.078056125",0.5
3,Les Délices rouges du Brou (producteur de groseilles et framboises),Rue du Brou,11,4280,Abolens,"50.672543244,5.151301696",0.5
4,Ferme Vanova,Route de Namur,73,4280,Crehen,"50.650425354,5.078693652",0.5
5,Hertaveg,Route de Landen,57 E,4280,Hannut,"50.696380041,5.081903394",0.5
6,Intermarché,Rue de Hesbaye,1,4280,Hannut,"50.67897509,5.079284298",0.5
7,Les Nectars du sommelier,Rue des Aisnes,25,4280,Hannut,"50.676317264,5.075253813",0.5
8,La cave de Jacques,Rue du grand Marais,1,4280,Lens-Saint-Remy,"50.659141411,5.129185458",0.5
9,Aux sens Larges,Route de Namur,156,4280,Avin,"50.625325071,5.083186181",0.5
10,Ferme Bayard,Rue Tige Jacquette,13,4280,Avin,"50.619450001,5.078056125",0.5
11,La Boutique Viande by Bobonne,Rue de l'Eglise,8,4280,Hannut,"50.671345054,5.078180062",0.5
12,Centre Fruitier Wallon,Rue de Marsalle,16/a,4280,Merdorp,"50.64152869,4.998800656",0.5
13,AD Delhaize,Rue Albert 1er,72,4280,Hannut,"50.670079416,5.081582015",0.5
14,Aldi SA,Rue de Huy,54,4280,Hannut,"50.664769864,5.091593435",0.5
15,Lidl,Rue de l'Europe,8,4280,Hannut,"50.677996994,5.085730975",0.5
16,Le Berceau du Vin,Rue Joseph wauters,12,4280,Hannut,"50.671440816,5.088310975",0.5
17,Lemestré Frères et Sœurs sprl,Rue des Anges,9,4280,Crehen,"50.653906443,5.055106519",0.5
18,Boucherie à la maison,Rue de Lens-Saint-Servais,1,4280,Abolens,"50.671412722,5.149892253",0.5
19,Gergay Hervé (producteur de cresson),Route de Landen,171,4280,Avernas-le-Bauduin,"50.696380041,5.081903394",0.5
20,Ferme de la Solive,Rue des Wérihets,1,4280,Moxhe,"50.630426419,5.070268624",0.5
21,Fourneaux Grégory,Rue des Mayeurs,1,4280,Poucet,"50.677924071,5.112031789",0.5
22,Colruyt,Route de Landen,59,4280,Hannut,"50.696380041,5.081903394",0.5
23,Carrefour Market,Rue Albert 1er,2,4280,Hannut,"50.670079416,5.081582015",0.5
24,V & F (Œnologue),Rue Louis Snyers,20,4280,Hannut,"50.669648492,5.084784683",0.5
25,DENEYS,Rue du Moulin,16,4280,Hannut,"50.67670153,5.067575401",0.5
26,Renmans,Rue de Huy,54,4280,Hannut,"50.664769864,5.091593435",0.5
