,Nom du commerce,Adresse,Numéro,Code postal,Localité,Géo Point,Time
0,Hypso,Grand Place,3,4280,Hannut,"50.672649414,5.077863186",0.5
1,Aux pays des rêves,Rue Albert 1er,6,4280,Hannut,"50.670079416,5.081582015",0.5
2,Nar6sik,Rue Zenobe Gramme,12,4280,Hannut,"50.671341164,5.075842323",0.5
3,Lillyfee (Confection d'articles pour enfants et adultes),Rue de la Sucrerie,50,4280,Trognée,"50.6830035,5.121581992",0.5
4,Fines Mouches (seconde main),Rue Albert 1er,61,4280,Hannut,"50.670079416,5.081582015",0.5
5,Zeeman,Rue Albert 1er,7,4280,Hannut,"50.670079416,5.081582015",0.5
6,Doudou dit donc,Rue Albert 1er,34,4280,Hannut,"50.670079416,5.081582015",0.5
7,Hortense & Marcel,Rue Albert 1er,39,4280,Hannut,"50.670079416,5.081582015",0.5
8,Wibra,Rue de Huy,54,4280,Hannut,"50.664769864,5.091593435",0.5
9,boutique Complicity,Rue de Huy,103c,4280,Hannut,"50.664769864,5.091593435",0.5
10,JBC,Route de Landen,53 A/3,4280,Hannut,"50.696380041,5.081903394",0.5
11,Lola Liza,Route de Landen,53 A,4280,Hannut,"50.696380041,5.081903394",0.5
12,Pample-Mousse (bébés et enfants),Rue Albert 1er,30,4280,Hannut,"50.670079416,5.081582015",0.5
13,Sheffield (hommes),Rue Gustave Detiege,5,4280,Hannut,"50.671955047,5.078210069",0.5
14,La Renomée,Place Henri Hallet,5,4280,Hannut,"50.671569391,5.078932884",0.5
15,Renard Scalais by caroline,Rue Albert 1er,19,4280,Hannut,"50.670079416,5.081582015",0.5
16,Follow Me,Rue Albert 1er,28,4280,Hannut,"50.670079416,5.081582015",0.5
17,Bel & Bo,Rue de Huy,54,4280,Hannut,"50.664769864,5.091593435",0.5
18,7 Sisters Store,Rue Zenobe Gramme,13,4280,Hannut,"50.671341164,5.075842323",0.5
19,Marcel (hommes),Rue Albert 1er,25,4280,Hannut,"50.670079416,5.081582015",0.5
20,"En Mode Bijoux, the store",Place Henri Hallet,12-janv,4280,Hannut,"50.671569391,5.078932884",0.5
21,Z (bébés et enfants),Rue Albert 1er,88,4280,Hannut,"50.670079416,5.081582015",0.5
22,Dress Code,Rue Zénobe Gramme,65,4280,Hannut,"50.671341164,5.075842323",0.5
23,Fleur de Lin,Rue Albert 1er,50 B,4280,Hannut,"50.670079416,5.081582015",0.5
24,Eros (dames),Rue Albert 1er,8,4280,Hannut,"50.670079416,5.081582015",0.5
25,Dressing 47 (dames),Rue Albert 1er,32,4280,Hannut,"50.670079416,5.081582015",0.5
26,Boutique Hémisphere,Rue Zenobe Gramme,5,4280,Hannut,"50.671341164,5.075842323",0.5
