,Nom du commerce,﻿Catégorie,Adresse,Numéro,Code postal,Localité,Site internet,Géo Point,lun_mat_ouv,lun_mat_ferm,lun_soir_ouv,lun_soir_ferm,mar_mat_ouv,mar_soir_ferm,mer_mat_ouv,mer_mat_ferm,mer_soir_ouv,mer_soir_ferm,jeu_mat_ouv,jeu_mat_ferm,ven_mat_ouv,ven_mat_ferm,ven_soir_ouv,ven_soir_ferm,sam_mat_ouv,sam_mat_ferm,sam_soir_ouv,sam_soir_ferm,dim_mat_ouv,dim_mat_ferm,dim_soir_ferm
0,Chez patate,Friteries - Petites restaurations,Rue Zenobe Gramme,15,4280,Hannut,http://www.chezpatate.be,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
1,Le Coune'Ke,Restaurant,Route de Tirlemont,5,4280,Hannut,http://www.couneke.eatbu.com,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
2,La Belva,Restaurant,Rue des Mayeurs,9a,4280,Poucet,http://www.labelva.be,"50.677924071,5.112031789",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
3,Le Greco,Restaurant,Route de Landen,2,4280,Hannut,http://www.legrecohannut.be,"50.696380041,5.081903394",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
4,L'Entre Nous,Restaurant,Route de Tirlemont,157,4280,Hannut,http://www.lentrenous.be,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
5,Les Petits plats de Yaya,Traiteur,Rue Joseph wauters,32,4280,Hannut,http://www.lespetitsplatsdeyaya.be,"50.671440816,5.088310975",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
6,Chez Mi-Mi,Restaurant,Route de Tirlemont,187,4280,Grand-Hallet,http://www.restochezmimi.com,"50.693519051,5.055381048",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
7,Kalut A.,Agence de publicité,Rue du Curé,30,4280,Moxhe,,"50.631402106,5.076315499",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
8,"Achat or ""MAXI"" (Mr Renty Didier)",Achat OR,Rue Albert 1er,74 B,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
9,Krua Thai Food,Restaurant,Rue Albert 1er,63,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
10,The Delfino Bar,Restaurant,Rue Zenobe Gramme,4,4280,Hannut,,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
11,Marben ( Jean-Paul Jacques),Agence immobilière,Avenue Paul Brien,17 a,4280,Hannut,,"50.675091008,5.065180745",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
12,Immeo,Agence immobilière,Rue de Lens-Saint-Servais,4,4280,Abolens,,"50.671412722,5.149892253",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
13,Berger E,Agence immobilière,Rue Trixhe à l'Arbre,4,4280,Grand-Hallet,,"50.698682943,5.039133577",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
14,Triffaux Joël,"Agriculture, crèmerie, produits laitiers",Rue d'Atrive,11,4280,Avin,,"50.624053111,5.073498891",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
15,Walagri,"Agriculture, graines et semences",Rue du Tilleul,9,4280,Hannut,,"50.670089613,5.088506117",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
16,Robert Jean ets,"Agriculture, graines et semences",Rue du Bois,16,4280,Trognée,,"50.690110112,5.125686624",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
17,Gerain Ets,Alarmes - Systèmes - Installateurs,Rue Alphonse Piron,3,4280,Avin,,"50.618222253,5.055596459",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
18,Aromatech,Alarmes - Systèmes - Installateurs,Rue Isidore Fumal,18,4280,Cras-Avernas,,"50.696224182,5.117659793",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
19,Animal Succes,Animaleries,Rue de Huy,73 C,4280,Hannut,,"50.664769864,5.091593435",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
20,Côté jardin,"Architecte de jardin, paysagiste",Route de Wavre,120,4280,Thisnes,,"50.670537318,5.043941939",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
21,Hainaut C,Architectes,Rue Joseph Triffaux,1,4280,Petit-Hallet,,"50.693006927,5.007490565",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
22,GEFIPA (Geuquet Benoît),Assurances,Rue des Limonadiers,38,4280,Avin,,"50.619301563,5.062851082",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
