,id,titre,description,date_fin,date_debut,date_affichage,lieu_nom,lieu_num,adresse,localite,cp,nom,latitude,longitude,info,telephone,gsm,website,email,fax,photo,geopoint
0,258254,Marché public,0,2021-03-01,2021-03-01,01/03,Place aux Foires,0.0,0,Marche-en-Famenne,6900,0,50.2256861,5.3443331,Tous les 1er et 3ème lundi du mois. 08:00-13:00.,0,0.0,0,0,0,http://www.ftlb.be/dbimages/evenement/event258254.jpg,"50.2256861,5.3443331"
1,183628,Spectacle (théâtre): Notre-Dame de Paris,"L’histoire commence le 15 avril 2019. La cathédrale la plus célèbre au monde vient de brûler (comme d’ailleurs dans le roman de Hugo). Les gargouilles ont échappé au pire et c’est elles qui nous font entrer dans le roman. La créatrice Geneviève Périat a imaginé 4 fantastiques marionnettes dont la plus célèbre d’entre les gargouilles, le Stryge. Pendant tout le spectacle nous sommes sur le fil entre l’humour de ces gargouilles désopilantes et l’émotion qui se dégage du récit.",2021-03-18,2021-03-18,18/03,La Maison de la Culture Famenne-Ardenne,74.0,Chaussée de l'Ourthe,Marche-en-Famenne,6900,- Maison de la Culture Famenne-Ardenne (billetterie),50.231734983326,5.3499756291443,A 20:30. Durée: 1h25. Plus d'informations à suivre.,+32(0)84 32 73 86,0.0,http://www.maisondelaculture.marche.be/,billetterie.mcfa@marche.be,0,http://www.ftlb.be/dbimages/evenement/event183628.jpg,"50.231734983326,5.3499756291442999"
2,183630,Concert (jeune public): Taama,"Taama – 'voyage' en langue dioula – réunit une chanteuse burkinabè et un violoniste breton dans un monde coloré qui mêle comptines traditionnelles et mélodies classiques.Elle a beaucoup marché. Dans ses sacs, elle a emporté les sons et les chants de son pays, autant de trésors qui font sa richesse. En exil, elle cherche un havre où poser ses petites et grandes affaires pour se reconstruire.<br />
Lui, présent sur sa route, l’accueille et l’accompagne sur ce chemin intime et musical.",2021-03-21,2021-03-21,21/03,La Maison de la Culture Famenne-Ardenne,74.0,Chaussée de l'Ourthe,Marche-en-Famenne,6900,- Maison de la Culture Famenne-Ardenne (billetterie),50.231734983326,5.3499756291443,A 15:00. Plus d'informations à suivre.,+32(0)84 32 73 86,0.0,http://www.maisondelaculture.marche.be/,billetterie.mcfa@marche.be,0,http://www.ftlb.be/dbimages/evenement/event183630.jpg,"50.231734983326,5.3499756291442999"
3,257194,!!!REPORT!!! Concert (imitatrice): Véronic Dicaire - Showgirl Tour,"Encensée par la critique pour ses deux derniers shows, Véronic Dicaire a su charmer le public et même le rendre accro! Elle revient avec un tout nouveau spectacle, 'Showgirl Tour', encore plus fou et toujours aussi bluffant. Artiste 'caméléon', elle nous promet déjà de belles surprises… En effet, elle s’est encore appropriée de nouvelles voix et incarne les plus grandes personnalités du moment, restituant leur timbre à la perfection… D’un battement de cils ou d’un déhanché sexy, dans une mise en scène de Josée Fortier réglée au millimètre, entre ambiance rock et solos intimistes, elle reproduit leur gestuelle et leurs mimiques avec une précision déconcertante. La performance flirte avec l’émotion et Véronic est plus que jamais inimitable!Disponible en formule VIP:<br />
- 17:30: Accueil et apéritif<br />
- 18:00: Repas en trois services (entrée, plat, dessert)<br />
- 19:45: Placement en salle (places réservées en Carré d’Or)<br />
- 20:00: Spectacle de Véronic DiCaire<br />
- Après le concert: Open bar (durée 1h)",2021-03-24,2021-03-24,24/03,Wallonie Expo (WEX),1.0,Rue des Deux Provinces,Marche-en-Famenne,6900,- WEX (Wallonie Expo S.A.),50.2436658,5.3369571,"A 20:00. Ouverture des portes 1h30 avant le début du concert. PAF: Carré d’Or: 63,70 € - CAT. 1: 57,70 € - CAT. 2: 52,70 € - CAT. 3 : 47,10 €. Sur réservation. Parking gratuit de 3 000 places. Accès PMR. Bar et petite restauration disponibles sur place. Possibilité de formule VIP.",+32(0)84 34 08 00,0.0,http://www.wex.be,info@wex.be,+32(0)84 34 08 09,http://www.ftlb.be/dbimages/evenement/event257194.jpg,"50.2436658,5.3369571"
4,258250,Marché public,0,2021-04-19,2021-04-19,19/04,Place aux Foires,0.0,0,Marche-en-Famenne,6900,0,50.2256861,5.3443331,Tous les 1er et 3ème lundi du mois. 08:00-13:00.,0,0.0,0,0,0,http://www.ftlb.be/dbimages/evenement/event258250.jpg,"50.2256861,5.3443331"
5,256895,Exposition (peinture et couture): Joyeux et découses #2,"Fiesta à la MCFA! L’EESSCF revient avec ses créations détonantes mêlant peinture et création textile. Des trouvailles et des savoir-faire revisités avec audace et en toute liberté. Pour la seconde fois, l’école secondaire spécialisée de Marloie s’engage à mettre en valeur la créativité des élèves du cours d’arts plastiques et de couture. Et il n’est pas du tout question de remettre le couvert à l’identique. De nouveaux thèmes et techniques sont travaillés dans un esprit d’expérimentation, où les deux disciplines se mêlent encore davantage que par le passé. Certaines réalisations sont le résultat d’un travail collectif, d’autres sont plus personnelles, comme cette série de portraits aux détails brodés empreints de personnalités.<br />
Une exposition de l’Etablissement d’Enseignement Secondaire Spécialisé de la Communauté Française Waha-Marloie.",2021-05-12,2021-04-24,24/04->12/05,La Maison de la Culture Famenne-Ardenne,74.0,Chaussée de l'Ourthe,Marche-en-Famenne,6900,- Maison de la Culture Famenne-Ardenne (billetterie),50.231734983326,5.3499756291443,L'exposition est accessible du lundi au vendredi de 10:00-18:00 et le samedi de 10:00-12:30.,+32(0)84 32 73 86,0.0,http://www.maisondelaculture.marche.be/,billetterie.mcfa@marche.be,0,http://www.ftlb.be/dbimages/evenement/event256895.jpg,"50.231734983326,5.3499756291442999"
6,183672,Concert (musique orientale): Gurdjieff Oriental Quartet,"Georges Ivanovitch Gurdjieff, philosophe et compositeur d’origine arménienne né en 1866, a collecté dans de nombreux monastères de différentes religions d’Asie (Inde, Tibet, Turquie…) des morceaux sacrés, qu’il jouera ensuite lui-même à l’harmonium indien.<br />
Bien des années plus tard, à titre d’exercice actif de méditation, il les a joué à un de ses disciples, Nicolas de Hartmann (musicien russe renommé, élève de Nicolaï Rimsky Korsakov et dont le travail a été acclamé par le tsar Nicolas II), chargé de les retranscrire en dictée suite à une écoute unique, et en inventer ensuite directement une main gauche sur base de la rythmique traditionnelle que lui tapait Gurdjieff sur les bords de son harmonium. Il en a résulté un répertoire classique grandiose pour piano solo.Gurdjieff Oriental Quartet souhaite à la fois interpréter ce répertoire tel que Gurdjieff aurait pu l’entendre dans les monastères (thèmes joués avec tablas, bansuri et harmonium – entrecoupés de solos et de préludes dans les ragas correspondants) tout en exploitant l’harmonisation écrite par de Hartmann (grâce au jeu du violon et de la guitare baryton fretless).<br />
Dans le cadre du Printemps musical de Waha.",2021-05-07,2021-05-07,07/05,L'église Saint-Etienne de Waha et vitraux de Jean-Michel Folon,0.0,Rue du Maquis,Waha,6900,- Maison de la Culture Famenne-Ardenne (billetterie),50.212273870028994,5.3435933589935,"A 20:30. PAF: 13 € ou 10 chèques-culture - Abonnés, étudiants, demandeurs d'emploi: 8 € - Art.27: 1,25 €.",+32(0)84 32 73 86,0.0,http://www.maisondelaculture.marche.be/,billetterie.mcfa@marche.be,0,http://www.ftlb.be/dbimages/evenement/event183672.jpg,"50.212273870028994,5.3435933589935001"
7,183625,!!!ANNULE!!! Spectacle (théâtre): Fugueuses,"Margot sent comme une fatigue. Sa fille a 18 ans aujourd’hui. Alors, brusquement, elle décide de se faire la malle ! Sur la route, avec ses valises, elle rencontre Claude, qui elle aussi a fugué… Mais de sa maison de retraite, où son fils l’a placée.",2021-02-26,2021-02-26,26/02,La Maison de la Culture Famenne-Ardenne,74.0,Chaussée de l'Ourthe,Marche-en-Famenne,6900,- Maison de la Culture Famenne-Ardenne (billetterie),50.231734983326,5.3499756291443,"A 20:30. PAF: 17 €/ad. ou 13 chèques-culture - Abonnés, étudiants, demandeurs d'emploi: 11 € - Art.27: 1,25 €.",+32(0)84 32 73 86,0.0,http://www.maisondelaculture.marche.be/,billetterie.mcfa@marche.be,0,http://www.ftlb.be/dbimages/evenement/event183625.jpg,"50.231734983326,5.3499756291442999"
8,256822,!!SUSPENDU!! Eclipse totale: repas dans le noir,"Chaque mois, une expérience unique et sensorielle à vivre dans l'obscurité! Un moment de partage avec des guides non-voyants qui deviennent vos yeux!<br />
Avec le soutien du Fonds Simone Deleau, géré par la Fondation Roi Baudouin.",2021-02-27,2021-02-27,27/02,Le Tiroir des Saveurs,74.0,Chaussée de l'Ourthe,Marche-en-Famenne,6900,- Le Tiroir des Saveurs,50.23250328764699,5.349354743957501,A 19:00. Menu 3 services: 25 € (boissons non comprises). Réservation indispensable.,+32(0)84 32 73 82,0.0,http://www.maisondelaculture.marche.be/le-tiroir-des-saveurs/,letiroirdessaveurs@marche.be,0,http://www.ftlb.be/dbimages/evenement/event256822.jpg,"50.232503287646992,5.3493547439575009"
9,258253,Marché public,0,2021-03-15,2021-03-15,15/03,Place aux Foires,0.0,0,Marche-en-Famenne,6900,0,50.2256861,5.3443331,Tous les 1er et 3ème lundi du mois. 08:00-13:00.,0,0.0,0,0,0,http://www.ftlb.be/dbimages/evenement/event258253.jpg,"50.2256861,5.3443331"
10,178626,Concert: Age tendre – La tournéedes idoles!,"Accompagnés de leurs musiciens et choristes, retrouvez vos incontournables idoles aux millions d’albums vendus! Jeane Manson, Les Forbans, Michel Orso, Pascal Daniel, Michèle Torr, Claude Barzotti, Herbert Léonard et Christian Delagrange sont réunis sur scène pour vous faire revivre en live leurs plus grands tubes connus de toutes et tous! Un rendez-vous à ne pas manquer!",2021-04-03,2021-04-03,03/04,Wallonie Expo (WEX),1.0,Rue des Deux Provinces,Marche-en-Famenne,6900,- WEX (Wallonie Expo S.A.),50.2436658,5.3369571,"A 15:00 et 20:00. Ouverture des portes 1h30 avant le début du concert. PAF: CAT. 1: 59 € - CAT. 2: 49 € - CAT. 3 : 39,50 €. Parking gratuit de 3000 places. Accès PMR. Bar et petite restauration disponibles sur place.<br />
<br />
<br />",+32(0)84 34 08 00,0.0,http://www.wex.be,info@wex.be,+32(0)84 34 08 09,http://www.ftlb.be/dbimages/evenement/event178626.jpg,"50.2436658,5.3369571"
