,Lieu,Description,Geometry,Situation,geo_point_2d
0,Aire de jeux Hôtel de Ville,2 points d'accès,"{""type"": ""Point"", ""coordinates"": [5.3403797, 50.225715]}",doc,"50.225715,5.3403797"
1,Saint-François - Salle omnisport,,"{""type"": ""Point"", ""coordinates"": [5.3352585, 50.22837]}",doc,"50.22837,5.3352585"
2,Centre de Support Télématique,,"{""type"": ""Point"", ""coordinates"": [5.3429009, 50.2265196]}",doc,"50.2265196,5.3429009"
3,Centre culturel et sportif - Salle omnisport,,"{""type"": ""Point"", ""coordinates"": [5.3488978, 50.2328144]}",doc,"50.2328144,5.3488978"
4,Centre culturel et sportif - Tiroir des Saveurs,,"{""type"": ""Point"", ""coordinates"": [5.3489186, 50.2325879]}",doc,"50.2325879,5.3489186"
5,Académie des Beaux Arts - Préau,,"{""type"": ""Point"", ""coordinates"": [5.3362973, 50.2284483]}",doc,"50.2284483,5.3362973"
6,Hôtel de Ville - CPAS,3 Points d'accès intérieur<br>- Hall d'entrée/Accueil<br>- Salle d'attente Etat-Civil Population<br>- Salle d'attente CPAS,"{""type"": ""Point"", ""coordinates"": [5.340429, 50.2262179]}",doc,"50.2262179,5.340429"
7,Place aux Foires,2 points d'accès,"{""type"": ""Point"", ""coordinates"": [5.3447087, 50.2256994]}",doc,"50.2256994,5.3447087"
8,Maison du Tourisme,Point d'accès extérieur,"{""type"": ""Point"", ""coordinates"": [5.3429035, 50.2295093]}",doc,"50.2295093,5.3429035"
9,Place du Roi Albert,,"{""type"": ""Point"", ""coordinates"": [5.3437236, 50.2278325]}",doc,"50.2278325,5.3437236"
10,Chateau Jadot - Salle des mariages,,"{""type"": ""Point"", ""coordinates"": [5.344124, 50.2268354]}",doc,"50.2268354,5.344124"
11,Maison de repos Libert - Cafétéria,,"{""type"": ""Point"", ""coordinates"": [5.3448877, 50.2328064]}",doc,"50.2328064,5.3448877"
